IPI,Intrepid Potash Inc,Basic Materials,,,
AAN,Aaron's Inc.,Consumer Discretionary,,,
AAP,Advance Auto Parts Inc,Consumer Discretionary,,,
ACAT,Arctic Cat Inc,Consumer Discretionary,,,
AEO,American Eagle Outfitters,Consumer Discretionary,,,
AMCX,AMC Networks Inc.,Consumer Discretionary,,,
ANF,Abercrombie & Fitch Company A,Consumer Discretionary,,,
ANN,AnnTaylor Stores Corp,Consumer Discretionary,,,
APEI,American Public Education Inc,Consumer Discretionary,,,
APOL,Apollo Group Inc,Consumer Discretionary,,,
ARO,Aeropostale Inc,Consumer Discretionary,,,
ASNA,Dress Barn Inc,Consumer Discretionary,,,
BC,Brunswick Corp,Consumer Discretionary,,,
BGFV,Big 5 Sporting Goods Corp,Consumer Discretionary,,,
BID,Sotheby's,Consumer Discretionary,,,
BIG,Big Lots Inc,Consumer Discretionary,,,
BJRI,BJ's Restaurants Inc,Consumer Discretionary,,,
BKE,Buckle Inc,Consumer Discretionary,,,
BKS,Barnes & Noble Inc,Consumer Discretionary,,,
BOBE,Bob Evans Farms,Consumer Discretionary,,,
BWLD,Buffalo Wild Wings,Consumer Discretionary,,,
BWS,Brown Shoe Co Inc,Consumer Discretionary,,,
BYD,Boyd Gaming Corp,Consumer Discretionary,,,v
CAB,Cabela's Inc Class A,Consumer Discretionary,,,
CAKE,Cheesecake Factory Inc,Consumer Discretionary,,,
CATO,Cato Corp A,Consumer Discretionary,,,
CBK,Christopher & Banks Corp,Consumer Discretionary,,,
CBRL,Cracker Barrel Old Country Store Inc,Consumer Discretionary,,,
CECO,Career Education Corp,Consumer Discretionary,,,
CHS,Chico's Fas Inc,Consumer Discretionary,,,
CNK,"Cinemark Holdings, Inc.",Consumer Discretionary,,,
CPLA,Capella Education Co,Consumer Discretionary,,,
CRI,Carters Inc,Consumer Discretionary,,,
CROX,CROCS,Consumer Discretionary,,,
CST,CST Brands Inc.,Consumer Discretionary,,,
DECK,Deckers Outdoor,Consumer Discretionary,,,
DIN,DineEquity Inc,Consumer Discretionary,,,
DKS,Dick's Sporting Goods Inc,Consumer Discretionary,,,
DORM,Dorman Products Inc.,Consumer Discretionary,,,
DPZ,DominoÍs Pizza,Consumer Discretionary,,,
DV,DeVry Inc,Consumer Discretionary,,,
DW,Drew Industries Inc,Consumer Discretionary,,,
DWA,DreamWorks Animation SKG,Consumer Discretionary,,,
EAT,Brinker Intl Inc,Consumer Discretionary,,,
ELY,Callaway Golf Co,Consumer Discretionary,,,
ESI,ITT Educational Svcs,Consumer Discretionary,,,
ETH,Ethan Allen Interiors,Consumer Discretionary,,,
FINL,Finish Line A,Consumer Discretionary,,,
FL,Foot Locker Inc,Consumer Discretionary,,,
FRAN,Francesca's Holdings Corp.,Consumer Discretionary,,,
FRED,Fred's Inc,Consumer Discretionary,,,
FTD,"FTD Companies, Inc.",Consumer Discretionary,,,
GCO,Genesco Inc,Consumer Discretionary,,,
GES,Guess? Inc,Consumer Discretionary,,,
GIII,G-III Apparel Group Ltd.,Consumer Discretionary,,,
GNTX,Gentex Corp,Consumer Discretionary,,,
GPI,Group 1 Automotive Inc,Consumer Discretionary,,,
HBI,Hanesbrands Inc,Consumer Discretionary,,,
HELE,Helen of Troy Ltd,Consumer Discretionary,,,
HHS,Harte-Hanks Inc,Consumer Discretionary,,,
HI,Hillenbrand Inc,Consumer Discretionary,,,
HIBB,Hibbett Sports Inc,Consumer Discretionary,,,
HSNI,HSN Inc,Consumer Discretionary,,,
HVT,Haverty Furniture,Consumer Discretionary,,,
HZO,MarineMax Inc,Consumer Discretionary,,,
ICON,Iconix Brand Group,Consumer Discretionary,,,
IGT,Intl Game Technology,Consumer Discretionary,,,
IILG,Interval Leisure Group,Consumer Discretionary,,,
IRBT,iRobot Corp.,Consumer Discretionary,,,
ISCA,Intl Speedway Corp A,Consumer Discretionary,,,
JACK,Jack in the Box Inc,Consumer Discretionary,,,
JAH,Jarden Corp.,Consumer Discretionary,,,
JAKK,JAKKS Pacific Inc,Consumer Discretionary,,,
JCP,"""Penney",Consumer Discretionary,,,
JW/A,"""John Wiley & Sons",Consumer Discretionary,,,
KATE,Kate Spade & Company,Consumer Discretionary,,,
KBH,KB Home,Consumer Discretionary,,,
LAD,Lithia Motors Inc A,Consumer Discretionary,,,
LAMR,Lamar Advertising Co A,Consumer Discretionary,,,
LKQ,LKQ Corp,Consumer Discretionary,,,
LTM,Life Time Fitness Inc,Consumer Discretionary,,,
LYV,"""Live Nation Entertainment",Consumer Discretionary,,,
LZB,La-Z Boy Inc,Consumer Discretionary,,,
MATW,Matthews Intl Corp A,Consumer Discretionary,,,
MCRI,Monarch Casino & Resort Inc,Consumer Discretionary,,,
MCS,Marcus Corp,Consumer Discretionary,,,
MDC,MDC Holdings Inc,Consumer Discretionary,,,
MDP,Meredith Corp,Consumer Discretionary,,,
MGAM,Multimedia Games Inc,Consumer Discretionary,,,
MHO,M/I Schottenstein Homes,Consumer Discretionary,,,
MNRO,Monro Muffler Brake,Consumer Discretionary,,,
MOV,Movado Group Inc,Consumer Discretionary,,,
MTH,Meritage Corp,Consumer Discretionary,,,
MUSA,Murphy USA Inc.,Consumer Discretionary,,,
MW,Men's Wearhouse Inc,Consumer Discretionary,,,
NILE,Blue Nile Inc,Consumer Discretionary,,,
NPK,National Presto Industries,Consumer Discretionary,,,
NTRI,"""NutriSystem",Consumer Discretionary,,,
NVR,NVR Inc,Consumer Discretionary,,,
NYT,New York Times Co A,Consumer Discretionary,,,
ODP,Office Depot Inc,Consumer Discretionary,,,
OUTR,Outerwall Inc.,Consumer Discretionary,,,
OXM,Oxford Industries Inc,Consumer Discretionary,,,
PBY,"""Pep Boys-Manny",Consumer Discretionary,,,
PERY,Perry Ellis Intl Corp,Consumer Discretionary,,,
PETS,PetMed Express.com Inc,Consumer Discretionary,,,
PII,Polaris Inds Inc,Consumer Discretionary,,,
PLCE,Children's Place Retail Stores,Consumer Discretionary,,,
PNK,Pinnacle Entertainment Inc,Consumer Discretionary,,,
PNRA,Panera Bread Co A,Consumer Discretionary,,,
POOL,Pool Corp,Consumer Discretionary,,,
PZZA,Papa John's Intl Inc,Consumer Discretionary,,,
